"sid","material","instructions","material_order","tid","block_scheme","stimulus_location","pos_x","response_deadline"
65,"probabilistic","sequence revealed","random first",1,"regular",3,-72,0.9
65,"probabilistic","sequence revealed","random first",2,"regular",6,360,0.9
65,"probabilistic","sequence revealed","random first",3,"regular",2,-216,0.9
65,"probabilistic","sequence revealed","random first",4,"regular",4,72,0.9
65,"probabilistic","sequence revealed","random first",5,"regular",2,-216,0.9
65,"probabilistic","sequence revealed","random first",6,"regular",5,216,0.9
65,"probabilistic","sequence revealed","random first",7,"regular",3,-72,0.9
65,"probabilistic","sequence revealed","random first",8,"regular",6,360,0.9
65,"probabilistic","sequence revealed","random first",9,"regular",1,-360,0.9
65,"probabilistic","sequence revealed","random first",10,"regular",5,216,0.9
65,"probabilistic","sequence revealed","random first",11,"regular",2,-216,0.9
65,"probabilistic","sequence revealed","random first",12,"regular",4,72,0.9
65,"probabilistic","sequence revealed","random first",13,"regular",3,-72,0.9
65,"probabilistic","sequence revealed","random first",14,"regular",1,-360,0.9
65,"probabilistic","sequence revealed","random first",15,"regular",5,216,0.9
65,"probabilistic","sequence revealed","random first",16,"regular",2,-216,0.9
65,"probabilistic","sequence revealed","random first",17,"regular",4,72,0.9
65,"probabilistic","sequence revealed","random first",18,"regular",3,-72,0.9
65,"probabilistic","sequence revealed","random first",19,"regular",4,72,0.9
65,"probabilistic","sequence revealed","random first",20,"regular",3,-72,0.9
65,"probabilistic","sequence revealed","random first",21,"regular",6,360,0.9
65,"probabilistic","sequence revealed","random first",22,"regular",3,-72,0.9
65,"probabilistic","sequence revealed","random first",23,"regular",6,360,0.9
65,"probabilistic","sequence revealed","random first",24,"regular",1,-360,0.9
65,"probabilistic","sequence revealed","random first",25,"regular",5,216,0.8
65,"probabilistic","sequence revealed","random first",26,"regular",6,360,0.8
65,"probabilistic","sequence revealed","random first",27,"regular",1,-360,0.8
65,"probabilistic","sequence revealed","random first",28,"regular",5,216,0.8
65,"probabilistic","sequence revealed","random first",29,"regular",2,-216,0.8
65,"probabilistic","sequence revealed","random first",30,"regular",4,72,0.8
65,"probabilistic","sequence revealed","random first",31,"regular",6,360,0.8
65,"probabilistic","sequence revealed","random first",32,"regular",4,72,0.8
65,"probabilistic","sequence revealed","random first",33,"regular",2,-216,0.8
65,"probabilistic","sequence revealed","random first",34,"regular",4,72,0.8
65,"probabilistic","sequence revealed","random first",35,"regular",6,360,0.8
65,"probabilistic","sequence revealed","random first",36,"regular",1,-360,0.8
65,"probabilistic","sequence revealed","random first",37,"regular",2,-216,0.8
65,"probabilistic","sequence revealed","random first",38,"regular",4,72,0.8
65,"probabilistic","sequence revealed","random first",39,"regular",2,-216,0.8
65,"probabilistic","sequence revealed","random first",40,"regular",4,72,0.8
65,"probabilistic","sequence revealed","random first",41,"regular",2,-216,0.8
65,"probabilistic","sequence revealed","random first",42,"regular",1,-360,0.8
65,"probabilistic","sequence revealed","random first",43,"regular",3,-72,0.8
65,"probabilistic","sequence revealed","random first",44,"regular",5,216,0.8
65,"probabilistic","sequence revealed","random first",45,"regular",6,360,0.8
65,"probabilistic","sequence revealed","random first",46,"regular",1,-360,0.8
